YearsExperience,Education,JobRole,Location,Age,Gender,Salary
6,High School,Data Scientist,Austin,50,Male,2704374
20,Bachelor,Software Engineer,New York,60,Other,5888458
18,High School,HR,Remote,44,Male,3907921
20,High School,Data Scientist,San Francisco,23,Male,6026743
11,High School,HR,San Francisco,51,Other,3091913
20,PhD,Software Engineer,Remote,54,Other,6497484
11,Master,Data Scientist,San Francisco,43,Other,4706090
15,PhD,Manager,Austin,36,Male,6310344
14,Bachelor,Manager,New York,24,Male,5191701
8,PhD,Data Scientist,Austin,60,Female,4733246
17,Master,Data Scientist,Remote,25,Other,5359512
8,High School,Analyst,New York,47,Other,2916465
20,Master,HR,Austin,23,Other,5189830
6,Bachelor,Data Scientist,New York,29,Other,3535227
14,Bachelor,Manager,New York,56,Male,5127055
7,High School,Analyst,Austin,25,Female,2388934
1,Master,Software Engineer,Austin,27,Female,2282299
17,Bachelor,Manager,New York,47,Other,5610659
11,Bachelor,HR,San Francisco,55,Male,3619839
15,PhD,Analyst,Austin,36,Other,5532838
7,Bachelor,Manager,New York,35,Male,3649092
17,High School,Manager,Remote,45,Female,4591671
12,High School,Software Engineer,India,50,Other,2408212
2,Master,Software Engineer,Remote,56,Female,2238774
0,PhD,Software Engineer,Austin,26,Male,2871158
6,Bachelor,HR,India,30,Female,1000000
7,PhD,HR,Remote,33,Female,3102083
4,Bachelor,Software Engineer,India,56,Female,1131435
11,High School,Data Scientist,New York,43,Male,3942799
4,Bachelor,Analyst,India,35,Male,1000000
2,PhD,Analyst,India,22,Female,1556624
13,Master,HR,New York,60,Other,4228420
8,High School,HR,Austin,36,Other,2010137
12,Master,Data Scientist,Austin,53,Female,4643914
6,Bachelor,Analyst,New York,53,Other,2771796
6,Master,HR,San Francisco,36,Other,2992394
10,High School,Manager,India,50,Other,2269151
1,Bachelor,Software Engineer,Austin,27,Male,1799825
11,High School,HR,Austin,41,Female,2659707
6,High School,Data Scientist,Austin,54,Female,2746864
0,Bachelor,Data Scientist,San Francisco,48,Other,2477373
8,High School,Data Scientist,Remote,24,Male,2720805
6,Bachelor,Software Engineer,Remote,27,Other,2284483
4,Bachelor,Manager,India,54,Other,1584551
18,PhD,Software Engineer,India,45,Other,5133872
8,Bachelor,Manager,Remote,33,Other,3390405
6,Master,Analyst,India,23,Female,1574168
16,High School,Software Engineer,San Francisco,23,Male,4995741
1,Master,Data Scientist,India,49,Other,1130764
1,Bachelor,HR,San Francisco,47,Male,1580154
5,High School,Data Scientist,San Francisco,53,Male,2873738
16,High School,Manager,New York,59,Other,5166865
4,Bachelor,Manager,Remote,55,Male,2608685
15,Bachelor,HR,India,37,Female,2769045
0,Bachelor,Analyst,Remote,30,Male,1000000
2,High School,Data Scientist,Remote,41,Female,1493371
3,PhD,Analyst,Remote,40,Other,2938751
19,High School,Data Scientist,New York,53,Female,5610548
6,Master,Data Scientist,San Francisco,54,Male,3992801
7,Bachelor,HR,Remote,22,Male,1703031
10,PhD,Software Engineer,Austin,49,Female,4766242
9,Bachelor,Data Scientist,Remote,56,Other,3417718
6,High School,Data Scientist,India,37,Male,1372745
16,High School,Software Engineer,San Francisco,23,Female,5080714
0,PhD,Analyst,San Francisco,33,Female,3150048
8,High School,Software Engineer,Remote,56,Male,2565242
18,PhD,Manager,Remote,37,Female,6611764
10,PhD,HR,Remote,29,Male,3871707
3,Bachelor,Manager,San Francisco,59,Male,3235399
15,High School,Manager,New York,46,Male,5128859
2,PhD,HR,India,46,Male,1336577
15,High School,HR,New York,57,Male,3797383
0,High School,HR,New York,25,Other,1000000
19,Bachelor,Analyst,New York,29,Other,5336958
6,Bachelor,HR,India,24,Male,1000000
11,High School,Analyst,India,43,Other,2039679
13,Master,Manager,San Francisco,51,Other,5542290
7,Master,Software Engineer,Austin,48,Female,3484115
1,Bachelor,Manager,Remote,42,Female,2223442
0,High School,Data Scientist,Remote,26,Other,1159376
15,High School,Data Scientist,India,40,Male,3297984
16,Master,Software Engineer,Austin,49,Male,5289677
13,Bachelor,Manager,Austin,27,Male,4637587
20,PhD,HR,Austin,52,Other,6124034
2,High School,HR,Austin,54,Other,1000000
0,High School,Software Engineer,Austin,24,Male,1202475
17,High School,HR,San Francisco,46,Female,4459632
2,Master,HR,San Francisco,45,Other,2116459
17,Master,Software Engineer,Austin,53,Other,5335229
9,PhD,Manager,New York,23,Male,5488960
16,PhD,Manager,New York,54,Male,6791863
6,Master,Software Engineer,Austin,50,Male,3177183
9,PhD,HR,Remote,47,Other,3580444
12,High School,Data Scientist,New York,28,Other,4175720
3,Bachelor,HR,New York,41,Female,1883088
15,Bachelor,Analyst,San Francisco,35,Male,4948820
11,Master,Manager,New York,44,Female,4956835
18,Bachelor,Software Engineer,New York,46,Female,5509060
16,PhD,HR,San Francisco,27,Male,5785441
4,Bachelor,Software Engineer,Remote,54,Male,1961969
7,Bachelor,Manager,Remote,26,Other,3271039
19,Bachelor,Manager,San Francisco,51,Other,6334877
14,High School,Analyst,New York,56,Female,4186343
12,Bachelor,Software Engineer,Remote,51,Female,3832876
18,Master,Software Engineer,San Francisco,38,Male,6019209
4,Bachelor,Analyst,Austin,47,Female,1950941
20,High School,Manager,Austin,44,Other,5828129
0,PhD,HR,Austin,22,Male,1982259
14,High School,Manager,San Francisco,55,Other,4918065
7,Master,Data Scientist,New York,22,Other,3929539
15,PhD,Manager,Austin,60,Female,6171240
2,High School,Analyst,India,33,Male,1000000
15,Master,Data Scientist,Remote,58,Male,4916062
4,Bachelor,Manager,Remote,51,Male,2468473
13,Master,HR,Austin,26,Other,3757307
15,High School,Manager,India,42,Female,3344048
6,PhD,Manager,Remote,57,Other,4124744
9,Master,HR,San Francisco,26,Male,3425222
3,PhD,Analyst,San Francisco,55,Other,3650181
4,Master,Analyst,India,25,Male,1325593
15,Master,Manager,San Francisco,45,Female,5984406
19,Master,Analyst,Remote,45,Female,5342623
11,Bachelor,HR,Remote,56,Other,2688487
18,Bachelor,Data Scientist,Austin,58,Other,5661131
11,Master,Data Scientist,San Francisco,24,Other,5000142
10,Master,Software Engineer,San Francisco,50,Male,4656063
12,High School,Data Scientist,San Francisco,33,Female,4378099
16,High School,Analyst,Remote,47,Other,3787731
7,Bachelor,Analyst,Remote,50,Female,2391064
3,Bachelor,Software Engineer,New York,32,Male,2634960
3,PhD,Software Engineer,San Francisco,46,Other,3887030
9,PhD,Data Scientist,India,58,Male,3637675
8,High School,Analyst,San Francisco,45,Female,2871233
6,Master,Analyst,India,53,Other,1527943
4,PhD,HR,Remote,33,Male,2705285
2,PhD,Analyst,Austin,51,Male,2906049
16,Master,HR,Remote,41,Other,4097682
18,Bachelor,Manager,Remote,57,Male,5444914
11,Master,Software Engineer,Austin,40,Female,4222896
13,Master,HR,New York,52,Male,4088691
19,Bachelor,Software Engineer,Remote,40,Other,5064675
4,Bachelor,Software Engineer,New York,56,Female,2748572
11,PhD,Manager,India,46,Female,4005935
20,PhD,Data Scientist,San Francisco,44,Female,7576931
15,PhD,HR,New York,60,Other,5348776
6,PhD,Analyst,New York,35,Female,3960275
4,Master,Analyst,Remote,56,Other,2219091
17,Bachelor,Analyst,San Francisco,33,Female,5330381
8,PhD,Analyst,New York,31,Female,4459007
5,Master,Analyst,San Francisco,28,Female,3258273
13,Bachelor,HR,India,34,Male,2099456
1,PhD,HR,India,26,Other,1000000
4,High School,Data Scientist,Remote,59,Male,2065435
6,PhD,Software Engineer,New York,46,Female,4302262
12,PhD,Manager,San Francisco,25,Female,6282650
18,Master,Manager,Remote,60,Female,5654561
9,PhD,Manager,New York,47,Female,5277567
12,High School,HR,New York,34,Female,2962423
17,Bachelor,Data Scientist,New York,49,Male,5709015
7,Bachelor,Software Engineer,New York,60,Other,3397164
0,Bachelor,Software Engineer,San Francisco,24,Female,2199268
16,High School,HR,San Francisco,46,Female,4158887
0,Master,Manager,San Francisco,59,Other,3085881
12,High School,Software Engineer,Austin,53,Male,3621366
12,High School,Manager,India,42,Other,2733193
18,PhD,Analyst,San Francisco,41,Male,6678517
17,Bachelor,Data Scientist,Austin,35,Other,5160277
10,High School,HR,New York,33,Female,2902582
9,PhD,Manager,New York,53,Other,5335672
20,Master,Data Scientist,Remote,29,Female,5889940
3,High School,Analyst,Austin,47,Other,1414755
4,PhD,Software Engineer,Remote,57,Male,3294158
16,Master,HR,India,30,Female,3245042
15,PhD,Analyst,India,50,Female,4192310
12,Master,Software Engineer,New York,56,Female,4824196
