YearsExperience,Education,JobRole,OrgSize,Location,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
Less than a year,Some college/university study without earning a bachelor's degree,Web developer,100 to 499 employees,Vietnam,9600.0,NOT PROVIDED,U.S. dollars ($),CoffeeScript; JavaScript; Rust,NOT PROVIDED,Male
6 to 7 years,Bachelor's degree,Web developer; Desktop applications developer,"1,000 to 4,999 employees",Vietnam,12000.0,NOT PROVIDED,U.S. dollars ($),C#,NOT PROVIDED,Male
1 to 2 years,Bachelor's degree,Mobile developer,10 to 19 employees,Vietnam,14400.0,NOT PROVIDED,U.S. dollars ($),C++; Objective-C; Swift,NOT PROVIDED,
9 to 10 years,Bachelor's degree,Desktop applications developer; DevOps specialist,10 to 19 employees,Vietnam,40000.0,NOT PROVIDED,U.S. dollars ($),,NOT PROVIDED,
11 to 12 years,Bachelor's degree,Web developer; Embedded applications/devices developer; Machine learning specialist; Data scientist; Database administrator; Systems administrator; DevOps specialist,20 to 99 employees,Vietnam,18000.0,NOT PROVIDED,U.S. dollars ($),Clojure; Java; JavaScript; Python; Scala; SQL,NOT PROVIDED,Male
3 to 4 years,Bachelor's degree,Web developer; Mobile developer,20 to 99 employees,Vietnam,3000.0,NOT PROVIDED,U.S. dollars ($),JavaScript; Ruby,NOT PROVIDED,Male
2 to 3 years,Primary/elementary school,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,100 to 499 employees,Vietnam,1000.0,NOT PROVIDED,U.S. dollars ($),C; C#; Java; JavaScript,NOT PROVIDED,Male
4 to 5 years,Bachelor's degree,Web developer; Database administrator,20 to 99 employees,Vietnam,650.0,NOT PROVIDED,U.S. dollars ($),JavaScript; PHP; SQL,NOT PROVIDED,Female
12-14 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Full-stack developer,20 to 99 employees,Viet Nam,30000000,Monthly,,Java;JavaScript,35 - 44 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mobile developer,100 to 499 employees,Viet Nam,17000000,Monthly,,Java;Objective-C,,
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Data scientist or machine learning specialist,"1,000 to 4,999 employees",Viet Nam,21000000,Monthly,,C;C++;Java;JavaScript;Python;Ruby;HTML;CSS,18 - 24 years old,Male
6-8 years,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mobile developer,20 to 99 employees,Viet Nam,6000,Monthly,Singapore dollars (S$),Java;JavaScript;Swift;HTML;CSS,,Male
3-5 years,Some college/university study without earning a degree,Back-end developer,100 to 499 employees,Viet Nam,1300,Monthly,U.S. dollars ($),Go;JavaScript;Python;Ruby;Scala;Bash/Shell,18 - 24 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Front-end developer;Mobile developer,20 to 99 employees,Viet Nam,1700,Monthly,U.S. dollars ($),C++;Java,25 - 34 years old,Male
3-5 years,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Embedded applications or devices developer,20 to 99 employees,Viet Nam,18500000,Monthly,,C;Bash/Shell,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Front-end developer;Full-stack developer,20 to 99 employees,Viet Nam,600,Monthly,U.S. dollars ($),CoffeeScript;JavaScript;Ruby;SQL;Cobol;HTML;CSS,25 - 34 years old,Male
0-2 years,I never completed any formal education,Front-end developer,"10,000 or more employees",Viet Nam,8000000,Monthly,,C#;JavaScript;HTML;CSS,25 - 34 years old,Male
6-8 years,Associate degree,Front-end developer,10 to 19 employees,Viet Nam,13000000,Monthly,,JavaScript;PHP;TypeScript;HTML;CSS;Bash/Shell,25 - 34 years old,Male
6-8 years,Some college/university study without earning a degree,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Embedded applications or devices developer;Front-end developer;Student;System administrator,10 to 19 employees,Viet Nam,4000000,Monthly,,C#;JavaScript;SQL;TypeScript;HTML;CSS,25 - 34 years old,Male
0-2 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Data or business analyst;Database administrator;QA or test developer;System administrator,10 to 19 employees,Viet Nam,600,Monthly,U.S. dollars ($),PHP;Python;Ruby;HTML,25 - 34 years old,Male
0-2 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Data or business analyst;Student,20 to 99 employees,Viet Nam,6500000,Monthly,,Java;JavaScript;PHP;Python;SQL;HTML;CSS,18 - 24 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;System administrator,100 to 499 employees,Viet Nam,11000,Yearly,U.S. dollars ($),CoffeeScript;Go;Ruby;Swift,25 - 34 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Full-stack developer,"10,000 or more employees",Viet Nam,25000000,Monthly,,JavaScript;HTML;CSS,25 - 34 years old,Male
3-5 years,Some college/university study without earning a degree,Back-end developer;Data or business analyst;Student,"1,000 to 4,999 employees",Viet Nam,300,Monthly,U.S. dollars ($),C++;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,18 - 24 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mobile developer,"10,000 or more employees",Viet Nam,20000000,Monthly,,Java;SQL;Swift;Kotlin,25 - 34 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Front-end developer;Full-stack developer;Mobile developer,10 to 19 employees,Viet Nam,630,Monthly,U.S. dollars ($),Java;JavaScript;SQL;Kotlin,25 - 34 years old,Male
15-17 years,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,500 to 999 employees,Viet Nam,2000,Monthly,U.S. dollars ($),Python,35 - 44 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Full-stack developer,"1,000 to 4,999 employees",Viet Nam,18000000,Monthly,,Java;JavaScript;SQL;HTML;CSS,35 - 44 years old,Male
12-14 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Front-end developer;Full-stack developer,100 to 499 employees,Viet Nam,1500,Monthly,U.S. dollars ($),Java;JavaScript;PHP;HTML;CSS,35 - 44 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;DevOps specialist,500 to 999 employees,Viet Nam,2500,Monthly,U.S. dollars ($),Go;Objective-C;Python;Swift,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;DevOps specialist,"1,000 to 4,999 employees",Viet Nam,40000000,Monthly,,CoffeeScript;Java;JavaScript;Ruby;SQL,25 - 34 years old,Male
12-14 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;DevOps specialist;Full-stack developer,100 to 499 employees,Viet Nam,48000000,Monthly,,Java;JavaScript;Ruby;SQL;HTML,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Full-stack developer;Mobile developer,100 to 499 employees,Viet Nam,600,Monthly,U.S. dollars ($),C#;Java;JavaScript;Objective-C;Swift;Kotlin;HTML,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Data scientist or machine learning specialist;Full-stack developer,"1,000 to 4,999 employees",Viet Nam,750,Monthly,U.S. dollars ($),JavaScript;PHP;Python;HTML;CSS;Bash/Shell,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Front-end developer;Full-stack developer;Mobile developer,"1,000 to 4,999 employees",Viet Nam,15000000,Monthly,,C#;JavaScript,25 - 34 years old,Male
9-11 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Engineering manager;Front-end developer;Full-stack developer,100 to 499 employees,Viet Nam,40000000,Monthly,,C#;JavaScript;SQL;HTML;CSS,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mobile developer,100 to 499 employees,Viet Nam,14000000,,,C#;Java;SQL,,
12-14 years,Some college/university study without earning a degree,Mobile developer,100 to 499 employees,Viet Nam,3600,Monthly,U.S. dollars ($),Assembly;C;C++;C#;Java;JavaScript;Objective-C;Python;Ruby;SQL;TypeScript;VBA;VB.NET;Visual Basic 6,25 - 34 years old,Male
