YearsExperience,Education,JobRole,OrgSize,Location,Age,Gender,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith
0.0,Some college/university study without earning a degree,"Developer, back-end;Data or business analyst","1,000 to 4,999 employees",Viet Nam,25-34 years old,Man,47000000.0,Monthly,VND	Vietnamese dong,C#;F#;HTML/CSS;JavaScript;Node.js;TypeScript
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,25-34 years old,Man,35000000.0,Monthly,VND	Vietnamese dong,JavaScript;Python
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","10,000 or more employees",Viet Nam,25-34 years old,Man,70000000.0,Monthly,VND	Vietnamese dong,C++;Java;JavaScript;Objective-C;Python;Ruby;Swift;TypeScript
10.0,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,25-34 years old,Prefer not to say,10000000.0,Monthly,VND	Vietnamese dong,C#;Rust;SQL;TypeScript
13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;DevOps specialist","1,000 to 4,999 employees",Viet Nam,18-24 years old,Man,12000000.0,Monthly,VND	Vietnamese dong,C#;Java;JavaScript;Kotlin;Node.js;PHP;Rust;SQL;TypeScript
7.0,Some college/university study without earning a degree,"Developer, back-end",100 to 499 employees,Viet Nam,18-24 years old,Man,41000000.0,Monthly,VND	Vietnamese dong,Java
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",500 to 999 employees,Viet Nam,25-34 years old,Man,15000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;PHP;Python;SQL
10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,25-34 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,Dart;Java;Kotlin
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;DevOps specialist","10,000 or more employees",Viet Nam,35-44 years old,Man,2300.0,Monthly,EUR European Euro,Go;JavaScript;Node.js;SQL;TypeScript
0.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Data scientist or machine learning specialist;Designer",10 to 19 employees,Viet Nam,18-24 years old,Man,9000000.0,Monthly,VND	Vietnamese dong,C;HTML/CSS;Java;Kotlin;Python
3.0,Some college/university study without earning a degree,"Developer, front-end;Student",20 to 99 employees,Viet Nam,18-24 years old,Man,5000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;Node.js;TypeScript
7.0,"Professional degree (JD, MD, etc.)","Developer, mobile;Developer, back-end",20 to 99 employees,Viet Nam,25-34 years old,Man,2500.0,Monthly,USD	United States dollar,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,18-24 years old,Man,14000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;Node.js;Python
20.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Engineer, site reliability;System administrator",20 to 99 employees,Viet Nam,25-34 years old,Man,100000000.0,Monthly,VND	Vietnamese dong,Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;TypeScript
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Engineer, data;Data scientist or machine learning specialist;Developer, back-end;Data or business analyst",100 to 499 employees,Viet Nam,25-34 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,Bash/Shell;HTML/CSS;JavaScript;Python;SQL
15.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;Data or business analyst;System administrator","5,000 to 9,999 employees",Viet Nam,25-34 years old,Man,25000000.0,Monthly,VND	Vietnamese dong,C#;SQL
